target_id	pse_pssm0	pse_pssm1	pse_pssm2	pse_pssm3	pse_pssm4	pse_pssm5	pse_pssm6	pse_pssm7	pse_pssm8	pse_pssm9	pse_pssm10	pse_pssm11	pse_pssm12	pse_pssm13	pse_pssm14	pse_pssm15	pse_pssm16	pse_pssm17	pse_pssm18	pse_pssm19	pse_pssm20	pse_pssm21	pse_pssm22	pse_pssm23	pse_pssm24	pse_pssm25	pse_pssm26	pse_pssm27	pse_pssm28	pse_pssm29	pse_pssm30	pse_pssm31	pse_pssm32	pse_pssm33	pse_pssm34	pse_pssm35	pse_pssm36	pse_pssm37	pse_pssm38	pse_pssm39
P17599	0.324907632191	0.13561135770500002	0.137814006433	-0.113256528961	-0.6757853314839999	0.6851159833409999	0.0693251644369	0.112667167666	0.0533655400334	-0.382552870314	-0.34863249273	0.107284446008	-0.042650446744	-0.535440200574	0.8559848816760001	0.597226143461	0.417565589834	-0.95706147433	-0.304400779843	-0.137087787805	0.7850683710100002	1.27171278419	1.2789910597399998	1.5375929327000002	1.41126877214	1.06633587534	1.0113879123	1.53473059611	1.4708750705899998	1.56948207327	1.38105574058	1.03941041224	1.3939842432700005	1.94818477334	1.6060564654700002	0.940886298166	0.7887827965790001	1.86941047416	1.3489049973299998	1.21193649814
Q62986	-0.0283611534965	0.0391727978589	0.0962811163713	-0.181506949585	0.0769024295896	0.410855975568	-0.036898096628699986	-0.366552208593	0.576980604257	-0.271470295837	-0.217836648711	-0.12604578191	0.364849999247	-0.295764729788	0.277431729124	0.50238209339	0.154721424148	-0.663519548801	-0.0712405420389	-0.240382214165	0.837804197581	1.45271161037	1.1277417392	1.43120226584	2.49518394979	1.26050200953	1.15405376933	1.47824501373	1.53429626635	1.40631633681	1.56092020081	1.0749188558299998	1.36460638569	1.7305234256	1.87041723148	0.986581098667	0.6161066977130001	4.10049676042	1.30788217721	1.15393608261
O95271	0.41013137077	0.0205475744942	0.323991556544	0.0429401850845	-0.0950739150684	0.144006990258	0.150331580531	-0.186466399498	0.282769050422	-0.00168002100666	0.08274745349339999	0.200379898667	-0.015884225284400002	-0.412598316746	-0.54581865328	0.299160175449	0.15470234624600002	-0.713956526831	-0.170974304028	0.0307441797845	1.7293682252900002	1.1883704330299998	2.05198678469	2.35362749271	1.5108298905700002	1.25848093111	1.41360412986	2.83359837489	2.1846153524900003	2.0600009320700003	1.92073072856	1.19240273967	0.990417418352	1.15566068521	1.8863725504400004	0.7906849290860001	1.22609859847	1.6717281582	1.43010493434	2.06118967085
P27695	-0.048383196091300006	0.183085573334	0.07528559666519999	0.0419951620193	0.1154046364	0.0744168380165	0.121806973415	-0.431133473663	0.3893391936	-0.181948489762	-0.377599756228	0.232787631774	0.134204349883	-0.129702995782	-0.132532071725	0.0861195802308	0.0944510038288	0.00365770086668	-0.022518853631	-0.22873540315	0.883370807306	1.55641522658	1.47399412204	2.11432355693	1.82585912785	0.816342170932	1.37460233651	1.82163567369	1.2047959733	1.50302495299	1.70854441027	1.31353248304	1.32672797341	1.55831182753	1.92499400024	0.907357751132	0.8332738540719999	4.41748878247	1.32003988659	1.2713997433700002
P00519	0.185436301793	0.217536568338	0.237079555805	0.0463998936962	-0.411806061122	0.321321031411	0.221720095594	-0.158635564666	0.056630235602	-0.253040452286	-0.151325308379	0.242828295322	0.000923397170412	-0.540393031919	0.386153388123	0.652825614218	0.349572153583	-0.954927187262	-0.364701152352	-0.0835977726681	0.973432053046	1.7139025257	1.23290087389	1.67707373236	1.88987935738	1.04908573629	1.4999968096599998	1.87914854636	1.61097794749	1.55459145515	1.9514702795900003	1.3027435860799998	1.4032620261700002	1.84115553316	2.16940079246	1.12645178189	0.944677533509	2.19224506521	1.52408706843	1.3755995316299998
P43250	0.070570402869	0.166956104145	0.093302393097	0.0909391310464	-0.328781834523	0.300241786456	0.264259381852	-0.34704710233099995	0.052963080412800005	-0.10342443825	-0.0466467208843	0.313316113726	0.0920763859384	-0.180212549477	-0.0349602603892	0.3430184214900001	0.17234436662500002	-0.725705479515	-0.15905171342	-0.0341574688669	1.00992304533	1.63563928379	1.49957888176	2.10703211983	1.9601504183	1.23534335759	1.75640272293	2.0468302402900003	1.5870622279299995	2.12361037235	2.41049658364	1.5591998162600005	1.5469851046599998	2.69961957102	1.99758698904	1.07669065123	0.933808322431	2.11368654231	1.91006945641	1.70722240068
P11064	0.367105429014	0.238492587604	-0.0773028650757	0.100491796158	-0.17460537891199998	0.139212049242	0.14630976817299998	-0.228864596849	0.291663091664	-0.133506335834	-0.152054623156	0.07204030998489999	0.252019135754	-0.242055715481	-0.342110313044	0.133650633343	0.0785617765413	-0.326475666918	-0.039706320866	-0.102864761341	0.995151026046	2.05076912495	1.30589064083	2.5909145853	2.280047815	1.1118924197700002	1.89872894231	1.96310374764	1.5939061736700002	2.13755344247	1.94094970844	1.29440609329	1.6097926156600002	2.0125815510900003	2.2153377243200003	0.973870239673	0.661408742281	2.80158690189	1.5289824897	1.49182379668
P60568	0.229922550203	0.062782297725	0.09399288886499997	-0.146295966487	-0.432198939963	0.314420039198	0.268284632341	-0.522438384846	-0.224233276808	0.0844850418148	0.259475963015	0.271482181507	0.296972718737	-0.276309878622	-0.157490949383	0.341338301405	0.419544532525	-0.8091593751639999	-0.217609220317	0.143034844253	1.22461006568	1.64647722386	2.34166933031	1.90940009433	1.89744350627	1.62192612984	2.0878376203	1.03473419152	1.19286952285	2.55544070071	3.25715345751	1.89062577141	1.77573098839	2.41020886727	1.85981417127	1.40904753853	1.49048445013	0.969578798703	1.55003479195	1.84132779684
Q96S37	0.0975453275938	-0.284368462261	-0.0340219923259	-0.502185969986	0.167073448191	-0.0872743418761	-0.339578443645	-0.258984080211	-0.0383947749962	0.241857740502	0.165111215242	-0.30773834826900004	0.39826239854	0.209238876311	-0.247176875689	0.311823854265	0.300727939265	-0.00801551125273	0.0346748189227	0.18142318168	0.943190086976	1.2203007257	1.38966045609	1.27510306637	1.62408426433	0.986419323945	0.995675294875	2.05316168771	1.46719650213	1.43156824231	1.76007353222	0.859623290567	1.1558074834899998	1.77978346676	2.0072805279900003	1.11362277129	0.952033638588	3.480095582	1.51289627829	1.17891778146
Q9H2K2	0.384899997145	0.0251572983606	0.32054533985800004	0.0410976342564	-0.00285827179885	0.122193093057	0.133423042946	-0.232272826936	0.25970593343000004	0.0308581824366	0.0843886728638	0.221393229842	0.0137995081064	-0.352412473279	-0.644591448806	0.268482732076	0.113892818226	-0.6872499810680001	-0.120222397732	0.0197699170158	1.81892749335	1.15637716542	2.27129168998	2.50904955113	1.55481700852	1.2523605263	1.37095281046	2.90902927668	2.13632808908	2.16877550664	1.91947027137	1.24615984449	1.05740507492	1.20853238724	1.72377401492	0.741905882986	1.23003157221	1.73472438573	1.5052909595299997	2.14569058282
P14061	0.720540136912	0.171553876154	-0.124129834974	-0.0596966551965	-0.520895253575	0.137288138901	0.0867786467079	0.07103480524610001	-0.0611493840108	-0.0646527416761	0.0016602215319400002	0.0264704674252	0.165075348898	-0.325660845411	-0.143861785405	0.318994448719	0.286133483736	-0.529353090555	-0.308337266731	0.152207283304	1.3948951637600002	1.7635207197599998	1.25540039544	2.15932289148	1.29464414432	1.09081303324	1.71606299456	2.8419033885400005	1.2031809298799998	2.20260650134	1.94606958419	1.2783579291	1.5104473053	1.85818494026	2.53175922656	0.8991926056280001	0.978797566712	1.71197231763	1.1350513209200002	1.86789624622
P37058	0.463657112943	0.163572042828	-0.120645088314	-0.33725960151100004	-0.225120975747	0.0138721050891	-0.165786015761	-0.156258316161	-0.0295571579351	0.11206405920999997	0.211874022351	0.0352782540364	0.231623923951	-0.00923131497524	-0.47299842236	0.217627024805	0.198591574169	-0.340178993608	-0.000133181798643	0.209008948787	1.25566402593	1.85031199211	1.30220510835	1.5905388392200002	1.36005182695	1.08366067626	1.30858839015	2.42870905153	1.27444968975	2.01791158015	2.25748327902	1.4992676078100002	1.82772904017	1.9150393433	1.95320434306	1.1271257698	1.0566714956	2.1153844057599995	1.71565911504	1.72164345597
P08581	0.137902797215	0.08634891148	0.112334182109	-0.0168304573137	-0.404024195459	0.180522647325	0.12700930365000002	-0.175380307544	0.06377684571759999	-0.0333267690179	-0.0151840195142	0.094911859283	0.034452356576300004	-0.23826390261	-0.0053767499636300006	0.429154184248	0.348258076376	-0.7345655937109999	-0.0835622321465	0.091843063299	0.924048977907	1.55140277895	1.65986071625	1.91073959537	2.5393485602	1.17370383457	1.47754259813	2.240004245	1.79134451862	2.0177613463900004	1.9870994901	1.08394268526	1.4224472758700002	2.31261429734	2.6693444223	1.22326927456	1.1997812852	2.2672565319	1.96559208755	1.80464427265
P21588	0.458702973594	-0.112941014845	0.17235677572799998	0.184965004429	-0.704573368814	0.098976149334	0.124721462843	-0.0214138212586	-0.1710384515	0.0724608231868	-0.05770003634	0.073459331394	-0.0328115335076	-0.206815593429	-0.16897518125	0.252157108645	0.436366668614	-0.594923478415	-0.033661713963700005	0.230687895555	1.08852314152	1.3768801876	1.7580155544599998	2.34238469539	1.50177324042	1.13453916426	1.51369671612	2.38819086754	1.3847135442700005	2.25389657173	1.9279004439	1.326680051	1.33403187957	2.16448085953	2.41892569291	1.03361980339	1.1680985010299998	2.27265670954	1.66543832019	1.87873686378
