target_id	d_fpssm0	d_fpssm1	d_fpssm2	d_fpssm3	d_fpssm4	d_fpssm5	d_fpssm6	d_fpssm7	d_fpssm8	d_fpssm9	d_fpssm10	d_fpssm11	d_fpssm12	d_fpssm13	d_fpssm14	d_fpssm15	d_fpssm16	d_fpssm17	d_fpssm18	d_fpssm19
P17599	8.50088110484e-05	0.000148191035476	0.000116025539404	0.000107984165386	3.10167283555e-05	0.0006318222442790001	4.25044055242e-05	0.000191844208717	0.00020218311816900004	7.00748307291e-05	4.13556378073e-05	5.74383858435e-05	9.7645255934e-05	0.000102240326801	0.00123607406335	0.000383688417435	0.000166571318946	0.0	4.25044055242e-05	5.05457795423e-05
Q62986	1.85707918586e-05	0.000531124647155	0.000308275144852	0.000233991977418	0.00105110681919	0.000861684742237	0.000271133561135	0.000126281384638	0.0014745208735699998	0.000200564552073	0.000445699004606	0.000233991977418	0.00100282276036	0.000408557420888	0.0013445253305599998	0.00111796166989	0.000115138909523	0.000579408705987	0.0003862724706580001	0.0
O95271	0.000470182082842	0.000176245089583	0.000587873986518	0.00042041187482	0.000144626369193	0.000224258702028	0.00027344337819099995	0.000344878264999	0.0006148084520349999	0.000292765929541	0.000437392298734	0.000293936993259	0.00010071147976200003	0.0	0.000161606793106	0.000112422116944	0.000152238283361	8.13889284123e-05	0.00021547572414200005	0.00032789784108499994
P27695	0.0	0.000911864464557	0.000451671183379	0.0008266434865610003	0.00115048320295	0.000102265173595	0.000656201530569	3.40883911984e-05	0.00142319033253	0.0004687153789780001	0.0003494060097830001	0.0011163948117499998	0.0007499446063639999	0.000732900410765	0.000792555095362	0.000255662933988	0.000110787271395	0.00244584206848	0.000656201530569	0.000196008249391
P00519	1.12733216842e-05	0.000237544992632	0.000180373146948	0.000179567909685	3.86513886317e-05	0.000185204570527	0.000220635010106	6.92504046317e-05	0.000186815045053	1.04680844211e-05	0.000103070369684	0.000180373146948	8.93813362107e-05	0.0	0.000608759370949	0.000475089985264	0.00012481177579	1.6104745263200004e-06	3.14042532632e-05	3.05990160001e-05
P43250	0.0	0.000825955863485	0.000485148832435	0.000954259686939	0.0003127405696690001	0.000757794457275	0.00104246856556	0.000264626635874	0.0006575570952010001	0.000629490633821	0.000850012830382	0.0011266679497	0.000557319733128	0.00106251603798	0.0008460033358989999	0.000589395688992	0.000152360790352	0.000244579163459	0.000645528611753	0.00043703489864
P11064	0.00252212810507	0.00390216046445	0.000475873227372	0.00456838298277	0.0023793661368600003	0.00180831826401	0.00361663652803	0.0020938422004400004	0.00342628723708	0.00299800133245	0.00285523936423	0.00233177881412	0.00404492243266	0.00233177881412	0.00218901684591	0.000904159132007	0.0	0.00252212810507	0.00228419149139	0.00180831826401
P60568	0.00188929738562	0.00239991830065	0.0034722222222199994	0.00209354575163	0.0017361111111099995	0.00372753267974	0.00454452614379	0.000204248366013	0.00107230392157	0.00382965686275	0.00571895424837	0.00388071895425	0.00388071895425	0.00229779411765	0.0030126633986900003	0.00275735294118	0.00296160130719	0.0	0.00178717320261	0.00280841503268
Q96S37	0.000101042831708	0.000205569898992	0.00021253837014400005	4.18108269136e-05	0.000923322427676	0.0	0.000125432480741	0.000250864961482	0.000209054134568	0.0008431850094249997	0.0008919643074910002	0.000114979774012	0.000989522903623	0.0011846400958900002	0.000264801903786	0.000383265913375	0.000236928019177	0.00124735633626	0.0005679303989099999	0.0004703718027780001
Q9H2K2	0.000526694471407	0.000197233413556	0.000696595913796	0.000494191586776	0.000185414182781	0.000232691105881	0.000295480769373	0.000389295913649	0.000656706009931	0.000364180048252	0.000504533413704	0.000359747836711	0.000135182451988	0.0	0.000104895673127	7.68250000369e-05	0.000147740384686	0.00010341826928	0.000258545673201	0.0003841250001850001
